"pergunta","resposta","opcaoA","opcaoB","opcaoC","opcaoD"
"Quem foi o primeiro presidente do Brasil?","B","Getúlio Vargas","Marechal Deodoro da Fonseca","Dom Pedro II","Floriano Peixoto"
"Qual o nome do tratado que encerrou a Primeira Guerra Mundial?","C","Tratado de Tordesilhas","Tratado de Paris","Tratado de Versalhes","Tratado de Utrecht"
"Qual o idioma mais falado no mundo?","D","Inglês","Espanhol","Hindi","Mandarim"
"Qual é a música mais ouvida do spotify na história?","C","Despacito","Shape of You","Blinding Lights","Someone You Loved"
"Onde foram realizados os primeiros Jogos Olímpicos modernos?","A","Atenas, 1896","Paris, 1900","Berlim, 1936","Londres, 1908"
"Qual o nome do primeiro filme da Pixar?","B","Procurando Nemo","Toy Story","Carros","Os Incríveis"
"Quem inventou a lâmpada?","C","Nikola Tesla","Albert Einstein","Thomas Edison","Alexander Graham Bell"
"Quantos continentes existem?","B","5","6","7","4"
"Quais as duas línguas mais faladas no mundo?","C","Inglês e espanhol","Mandarim e francês","Inglês e mandarim chinês","Hindi e árabe"
"Quem pintou Mona Lisa?","C","Michelangelo","Pablo Picasso","Leonardo da Vinci","Van Gogh"
"De quem é a famosa frase 'Penso, logo existo'?","A","René Descartes","Sócrates","Kant","Aristóteles"
"Qual é o significado de 'guilty'?","A","Culpado","Inocente","Desconfiado","Cansado"
"Qual é o passado do verbo 'go'?","A","Went","Gone","Goes","Run"
"Como se diz 'segunda-feira' em inglês?","B","Sunday","Monday","Friday","Tuesday"
"Qual a tradução de 'Almost missed my flight twice'?","C","Quase perdi minha mala duas vezes","Quase cheguei atrasado duas vezes","Quase perdi meu voo duas vezes","Quase comprei duas passagens"
"Como se diz 'fiquei com medo' em espanhol?","B","Me asusté","Me dio miedo","Tuve miedo","Sentí temor"
"Como se diz 'tapete' em espanhol?","B","Rugosa","Alfombra","Tapita","Colcha"
"Qual o único país da África que fala espanhol?","A","Guiné Equatorial","Moçambique","Angola","Cabo Verde"
"Qual das alternativas abaixo possui o número 1015 por extenso?","A","Mil quinze","Mil quinhentos e quinze","Mil cento e quinze","Mil quinze e cinco"
"Qual o animal que mais mata humanos no mundo?","D","Tubarão","Cobra","Leão","Mosquito"
"Qual é o felino mais rápido do mundo?","C","Leopardo","Tigre","Guepardo","Leão"
"Animais onívoros comem o quê?","D","Somente carne","Somente plantas","Frutas e sementes","Comem tanto plantas quanto carne"
"Qual é a terceira lei de Newton?","B","Um corpo em repouso tende a permanecer","Para toda ação, há uma reação igual e contrária","A força é igual à massa vezes a aceleração","Dois corpos não ocupam o mesmo lugar"
"Qual é a capital do Canadá?","D","Toronto","Montreal","Vancouver","Ottawa"
"Quanto é 30% de 150?","B","30","45","50","35"
"Quem fundou a Microsoft?","A","Bill Gates","Steve Jobs","Larry Page","Elon Musk"
"Em que continente se encontra o Rio Amazonas?","D","América Central","América do Norte","África","América do Sul"
"Qual desses NÃO é um numero primo?","C","17","19","27","29"
"Qual filósofo afirmou 'Só sei que nada sei'?","A","Sócrates","Aristóteles","Kant","Platão"
"Qual é o maior osso do corpo humano?","A","Fêmur","Tíbia","Umero","Crânio"
"Quantas cordas tem um violino?","B","Seis","Quatro","Cinco","Oito"
"O que significa a sigla ONU?","B","Ordem Nacional Unida","Organização das Nações Unidas","Ordem das Nações Unidas","União Nacional Organizada"
"Qual é o nome do ácido presente no estômago?","B","Ácido sulfúrico","Ácido clorídrico","Ácido acético","Ácido cítrico"
"Qual o nome da ciência que estuda os fósseis?","D","Biologia","Geologia","Antropologia","Paleontologia"
"O que mede a escala Richter?","C","Altura das montanhas","Volume sonoro","Intensidade de terremotos","Nível do mar"
"Em qual continente fica o deserto do Saara?","B","Ásia","África","América","Oceania"
"Qual país tem a maior reserva de petróleo do mundo?","A","Venezuela","Arábia Saudita","Irã","Rússia"
"Em que ano começou a Segunda Guerra Mundial?","A","1939","1941","1936","1945"
"Qual aparelho é utilizado para medir a quantidade de chuva?","C","Barômetro","Termômetro","Pluviómetro","Anemômetro"
"Do que uma pessoa antropofóbica tem medo?","C","De altura","De insetos","De interações sociais","De escuro"
"Qual é a faixa inicial no judô?","B","Faixa amarela","Faixa branca","Faixa azul","Faixa preta"
"Em que data se comemora o Dia Internacional da Mulher?","A","8 de março","1º de maio","12 de outubro","25 de dezembro"
"Qual número é representado pelo algarismo romano 'D'?","C","100","1000","500","50"
"Em que país a primeira bomba atômica foi testada?","A","Estados Unidos","Rússia","Alemanha","China"
"Qual é o nome do fenômeno que causa o aquecimento global?","A","Efeito estufa","Chuva ácida","Inversão térmica","Desmatamento"
"Em que país se originou o futebol?","D","Brasil","Alemanha","Itália","Inglaterra"
"De onde partiu o Titanic?","A","Southampton","Nova York","Londres","Liverpool"
"Quantos % do cérebro são compostos por água?","D","70%","80%","60%","75%"
"Em que país surgiu o cachorro-quente?","C","EUA","França","Alemanha","Itália"
"Quantos % da população mundial é canhota?","D","20%","15%","5%","10%"
